,Weekend Box Office Results Jan 3 to Jan 5 2003 - United Kingdom,,,,,,
,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Cum to date
1,Lord of the Rings: Two Towers,"5,774,170",Entm't,-29,3,502,"38,403,392"
2,Star Trek X: Nemesis,"1,957,845",UIP,,1,426,"1,957,845"
3,Harry Potter Chamber Secrets,"1,144,473",Warner,-27,8,444,"50,799,921"
4,Die Another Day,"1,092,631",Fox,-28,7,415,"33,798,703"
5,Sweet Home Alabama,"875,604",BVI,-5,3,327,"3,727,267"
6,City Of God,"307,177",BVI,,1,76,"307,177"
7,The Santa Clause 2,"291,386",BVI,-44,6,356,"7,721,995"
8,Like Mike,"130,714",Fox,-18,4,248,"1,096,799"
9,The Quiet American,"117,590",BVI,-23,6,80,"1,575,128"
10,Chicago,"82,314",BVI,-27,2,1,"272,742"
11,Spider,"63,949",Helkon SK,,1,20,"63,949"
12,Talaash,"63,765",Shree Krishna,,1,25,"63,765"
13,Dirty Pretty Things,"56,765",BVI,-27,4,29,"530,299"
14,Blood Work,"55,053",Warner,-10,2,55,"165,692"
15,Bowling For Columbine,"50,555",Momentum,24,8,34,"1,129,070"
,,,,,,,
,Total,"12,063,991",,,,"3,038","141,613,744"
,,,,,,,
21,Anita & Me,"22,192",Icon,-48,7,38,"1,810,096"
24,The Magdalene Sisters,"16,939",Momentum,678,11,18,"767,396"
26,28 Days Later,"13,034",Fox,-40,10,21,"6,238,016"
32,Morvern Callar,"4,308",Momentum,81,10,6,"364,880"
34,Importance of Being Earnest,"2,526",BVI,-47,18,2,"3,407,587"
,,,,,,,
,Comments,,,,,,
,"The figure for ""Star Trek X: Nemesis"" includes £334,458 from 334 previews",,,,,,
,,,,,,,
,"The figure for ""City of God"" includes £38,691 from 55 previews",,,,,,
,,,,,,,
,"The figure for ""Spider"" includes £5,869 from 9 previews",,,,,,
,,,,,,,
,"""Chicago"" figure up 2% without Thursday's figures",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Weekend Box Office Results Jan 10 to Jan 12 2003 - United Kingdom,,,,,,
,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Cum to date
1,Lord of the Rings: Two Towers,"3,728,876",Entm't,-35,4,513,"44,520,972"
2,Gangs of New York,"2,622,748",Entm't,,1,385,"2,622,748"
3,The Tuxedo,"1,080,504",UIP,,1,258,"1,080,504"
4,Star Trek X: Nemesis,"808,579",UIP,-59,2,424,"3,370,780"
5,Die Another Day,"640,382",Fox,-41,8,335,"34,824,256"
6,Harry Potter Chamber Secrets,"624,450",Warner,-45,9,397,"51,932,561"
7,Sweet Home Alabama,"523,337",BVI,-40,4,307,"4,660,412"
8,City Of God,"274,544",BVI,-11,2,77,"776,538"
9,The Good Girl,"114,235",Fox,,1,28,"114,235"
10,The Quiet American,"87,489",BVI,-26,7,65,"1,735,861"
11,The Santa Clause 2,"82,267",BVI,-72,7,310,"7,855,826"
12,City By The Sea,"77,936",Warner,,1,53,"77,936"
13,Chicago,"67,405",BVI,-18,3,1,"384,674"
14,Like Mike,"63,458",Fox,-51,5,165,"1,183,129"
15,Bowling For Columbine,"42,683",Momentum,-16,9,34,"1,215,039"
,,,,,,,
,Total,"10,838,893",,,,"3,352","156,355,471"
,,,,,,,
16,Spider,"41,636",Helkon SK,-35,2,18,"136,802"
17,Dirty Pretty Things,"38,048",BVI,-33,5,23,"600,965"
22,The Magdalene Sisters,"17,763",Momentum,5,12,15,"798,846"
27,Anita & Me,"8,059",Icon,-64,8,16,"1,828,845"
33,Deathwatch,"4,536",Pathe,-82,6,20,"964,706"
36,Morvern Callar,"2,432",Momentum,-44,11,3,"379,732"
42,All Or Nothing,"1,371",UGC,16,13,3,"669,811"
,,,,,,,
,Comments,,,,,,
,"The figure for ""Gangs of New York"" includes £19,420 from 1 screen on Wed/Thur",,,,,,
,,,,,,,
,"The fall-off rate without previews for ""Star Trek X: Nemesis"" is 50%",,,,,,
,,,,,,,
,"Without previews, the rate for ""City Of God"" increased by 2%",,,,,,
,,,,,,,
,"The weekend is 10% down on last weekend, and 14% up on the same weekend last year",,,,,,
,,,,,,,
,It ranks 13th out of the last 52 weeks,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Weekend Box Office Results Jan 17 to Jan 19 2003 - United Kingdom,,,,,,
,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Cum to date
1,8 Mile,"4,440,334",UIP,,1,423,"4,440,334"
2,Lord of the Rings: Two Towers,"2,403,388",Entm't,-36,5,496,"48,394,834"
3,Chicago,"1,983,505",BVI,2843,4,276,"2,398,583"
4,Gangs of New York,"1,701,779",Entm't,-35,2,385,"5,867,591"
5,The Tuxedo,"768,428",UIP,-29,2,262,"2,180,802"
6,Harry Potter Chamber Secrets,"496,609",Warner,-20,10,377,"52,632,648"
7,Star Trek X: Nemesis,"432,247",UIP,-47,3,296,"4,170,972"
8,Die Another Day,"392,489",Fox,-39,9,275,"35,456,195"
9,The Transporter,"338,420",Fox,,1,208,"338,420"
10,Sweet Home Alabama,"259,754",BVI,-50,5,271,"5,139,295"
11,City Of God,"226,236",BVI,-18,3,64,"1,200,804"
12,Dil Ka Rishtaa,"108,120",Venus,,1,23,"108,120"
13,The Good Girl,"86,192",Fox,-25,2,29,"270,720"
14,The Master Of Disguise,"60,077",Col/Tri,,1,75,"60,077"
15,Like Mike,"56,371",Fox,-11,6,155,"1,242,842"
,,,,,,,
,Total,"13,753,949",,,,"3,615","163,902,237"
,,,,,,,
17,Spider,"47,987",Helkon SK,15,3,22,"206,004"
20,Dirty Pretty Things,"23,278",BVI,-39,6,15,"648,689"
24,The Magdalene Sisters,"17,352",Momentum,-2,13,12,"829,505"
36,Morvern Callar,"3,299",Momentum,36,12,6,"384,340"
37,Anita & Me,"2,794",Icon,-65,9,8,"1,836,242"
47,Deathwatch,641,Pathe,-86,7,4,"967,436"
51,All Or Nothing,277,UGC,-80,14,2,"671,879"
,,,,,,,
,Comments,,,,,,
,,,,,,,
,"The weekend is 27% up on last weekend, and 44% up on the same weekend last year",,,,,,
,,,,,,,
,It ranks 7th out of the last 52 weeks,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Weekend Box Office Results Jan 24 to Jan 26 2003 - United Kingdom,,,,,,
,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Cum to date
1,8 Mile,"2,514,467",UIP,-43,2,423,"8,649,445"
2,Chicago,"1,918,232",BVI,-3,5,324,"5,552,239"
3,Lord of the Rings: Two Towers,"1,638,618",Entm't,-32,6,448,"51,037,696"
4,Gangs of New York,"1,108,919",Entm't,-35,3,374,"7,869,425"
5,I Spy,"878,229",Col/Tri,,1,273,"878,229"
6,Ghost Ship,"784,565",UIP,,1,282,"784,428"
7,About Schmidt,"757,325",Entm't,,1,220,"757,325"
8,The Tuxedo,"456,894",UIP,-41,3,262,"2,824,461"
9,Harry Potter Chamber Secrets,"372,879",Warner,-25,11,367,"53,142,525"
10,The Pianist,"195,222",Pathe,,1,64,"195,222"
11,Die Another Day,"190,950",Fox,-51,10,179,"35,789,760"
12,Star Trek X: Nemesis,"179,743",UIP,-58,4,181,"4,540,798"
13,City Of God,"134,137",BVI,-41,4,41,"1,503,538"
14,The Transporter,"130,572",Fox,-61,2,175,"623,493"
15,Sweet Home Alabama,"91,965",BVI,-65,6,173,"5,331,446"
,,,,,,,
,Total,"11,352,717",,,,"3,786","179,480,030"
