,Weekend Box Office Results Jan 7 - Jan 9 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,White Noise,"1,787,478",Entertainment,,1,314,"1,787,478",
2,The Aviator,"1,314,946",BVI,2110,3,285,"1,545,475",
3,Alexander,"1,200,083",Warner,,1,415,"1,200,083",
4,The Incredibles,"974,056",BVI,-25,8,437,"30,264,650",
5,Lemony Snicket's A Series of Unfortunate Events,"969,252",UIP,-23,4,446,"11,300,577",
6,National Treasure,"944,810",BVI,-22,3,410,"5,707,021",
7,Without a Paddle,"498,724",UIP,-16,2,248,"1,664,608",
8,The Phantom of the Opera,"497,237",Entertainment,-15,5,341,"7,709,066",
9,House of Flying Daggers,"448,397",Pathe,-16,3,215,"2,710,875",
10,The Polar Express,"298,556",Warner,-50,6,399,"9,127,245",
11,Vera Drake,"266,010",Momentum,,1,65,"266,010",
12,Bridget Jones: The Edge of Reason,"217,915",UIP,-23,9,163,"35,612,127",
13,Blade: Trinity,"148,804",Entertainment,-46,5,233,"6,527,178",
14,Garden State,"60,638",BVI,-4,5,31,"692,749",
15,The Merchant of Venice,"53,207",Optimum,5,6,33,"696,223",
,Total,"9,680,113",,,,"  4,035 ","116,811,365",
,,,,,,,,
20,Ladies in Lavender,"31,116",Entertainment,120,9,34,"2,898,405",
24,Enduring Love,"12,600",Pathe,14,7,8,"649,410",
37,Finding Neverland,"4,400",BVI,-19,11,3,"3,445,288",
41,My House in Umbria,"4,122",Momentum,77,7,4,"75,143",
47,Dead of Night (RE),"2,107",BFI,80,2,1,"5,881",
48,The Motorcycle Diaries,"1,869",Pathe,-66,20,2,"2,707,398",
51,My Summer of Love,"1,047",Contentfilm,-45,12,4,"477,963",
,,,,,,,,
,Comments,,,,,,,
,"The weekend is up 37% on last weekend, and is 19% down on the same week last year",,,,,,,
,,,,,,,,
,It ranks 18th out of the last 52 weeks,,,,,,,
,,,,,,,,
,"The figure for The Aviator includes £154,773 from 273 on Thursday",,,,,,,
,,,,,,,,
,"The figure for Alexander includes £161,558 from 352 previews",,,,,,,
,,,,,,,,
,The increase without previews for Without a Paddle is 12%,,,,,,,
,,,,,,,,
,"The figure for Vera Drake includes £10,000 from 7 previews",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Weekend Box Office Results Jan 14 - Jan 16 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,Closer,"1,568,526",Col/TriStar,,1,275,"1,568,526",
2,Team America: World Police,"1,526,329",UIP,,1,327,"1,526,329",
3,White Noise,"1,380,275",Entertainment,-23,2,316,"3,931,456",
4,The Aviator,"985,643",BVI,-25,4,324,"3,107,546",
5,Million Dollar Baby,"803,899",Entertainment,,1,285,"803,899",
6,Lemony Snicket's A Series of Unfortunate Events,"652,408",UIP,-33,5,451,"12,163,768",
7,The Incredibles,"599,179",BVI,-38,9,423,"31,054,826",
8,National Treasure,"552,816",BVI,-41,4,358,"6,614,631",
9,Alexander,"528,785",Warner,-56,2,411,"2,197,173",
10,Without a Paddle,"334,419",UIP,-33,3,229,"2,155,680",
11,The Phantom of the Opera,"268,691",Entertainment,-46,6,228,"8,375,205",
12,House of Flying Daggers,"231,829",Pathe,-48,4,181,"3,176,558",
13,Vanity Fair,"204,693",UIP,,1,139,"204,693",
14,Vera Drake,"194,789",Momentum,-27,2,64,"642,450",
15,The Polar Express,"169,801",Warner,-43,7,327,"9,343,096",
,Total,"10,002,082",,,,"4,338","86,865,836",
,,,,,,,,
16,Bridget Jones: The Edge of Reason,"107,880",UIP,-51,10,87,"35,848,815",
18,The Merchant of Venice,"40,038",Optimum,-25,7,39,"784,264",
