Title,Distr
King Kong,UIP
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BVI
Just Friends,Momentum
Brokeback Mountain,Entertainment
Just Like Heaven,UIP
Cheaper by the Dozen,20th Fox
Match Point,Icon
Harry Potter and the Goblet of Fire,Warner
The Producers,Sony
March of the Penguins,Warner
Running Scared,Entertainment
Lassie,Entertainment
Dosti,Tip Top
The Constant Gardener,UIP
The Family Stone,20th Fox
Mrs Henderson Presents,Pathe
Nanny McPhee,UIP
Wallace and Gromit: The Curse of the Were-Rabbit,UIP
Where the Truth Lies,Momentum
Mad Hot Ballroom,Metrodome
Howl's Moving Castle,Optimum
Merry Christmas (Joyeux Noel),Sony
Innocence,Artificial Eye
Oliver Twist,Pathe
Tickets,Artificial Eye
Broken Flowers,Momentum
Jarhead,UIP
Memoirs of a Geisha,BVI
Breakfast on Pluto,Pathe
Cry Wolf,Optimum
The Truth,Guerilla Films
Rize,Redbus
Familia Rodante,Artificial Eye
Sophie Scholl,ICA Projects
Black Narcissus (RE),BFI
Fun with Dick and Jane,Sony
Underworld: Evolution,Entertainment
Get Rich or Die Tryin',UIP
Cheaper by the Dozen 2,20th Fox
A Cock and Bull Story,Redbus
Munich,UIP
Rumour Has It,Warner
Rang De Basanti,UTV Comm
Hidden (Caché),Artificial Eye
Frozen,Guerilla Films
Zathura,Sony
Walk the Line,20th Fox
Derailed,BVI
Grizzly Man,Revolver
Chicken Little,BVI
Final Destination 3,Entertainment
Big Momma's House 2,20th Fox
The Little Polar Bear 2,Warner
The Adventures of Greyfriars Bobby,The Works
Song of Songs,Soda Pictures
Brief Encounter (RE),Park Circus Films
Casanova,BVI
Aeon Flux,UIP
"Good Night, and Good Luck",Redbus
Lady Vengeance,Tartan
The Piano Tuner of Earthquakes,Artificial Eye
Brief Encounter,Park Circus Films
Date Movie,20th Fox
Syriana,Warner
Lucky Number Slevin,Entertainment
The Weather Man,Momentum
Last Holiday,UIP
The Matador,BVI
"Good night, and Good Luck",Lionsgate
Capote,Sony
Kidulthood,Revolver
Hidden (Cache),Artificial Eye
March of the Penguins,Warner 
Mirrormask,Tartan
Mrs. Henderson Presents,Pathe
Manderlay,Metrodome
A Cock and Bull Story,Lionsgate
Harry Potter and the Goblet of Fire,Warner 
Crossing the Bridge,Soda
Wild Country,Ian Rattray Films
The Hills Have Eyes,20th Fox
The Proposition,Tartan
"Good Night, and Good Luck",Lionsgate
Two for the Money,UIP
Evil Aliens,Contentfilm
These Foolish Things,Swipe
The Road to Guantanamo,Revelation
The Pink Panther,20th Fox
V for Vendetta,Warner
Tsotsi,Momentum
"Good Night, and Good Luck",Lions Gate
A Cock and Bull Story,Lions Gate
In My Country,Sony
Inside Man,UIP
Hostel,Sony
The Ringer,20th Fox
Transamerica,Pathe
The Boys from County Clare,Lions Gate
"Good Night, And Good Luck",Lions Gate
Strayed,Soda
Failure to Launch,UIP
The Shaggy Dog,BVI
Basic Instinct 2: Risk Addiction,Entertainment
Firewall,Warner
"Yours, Mine and Ours",Sony
The Three Burials of Melquiades Estrada,Optimum
The White Countess,Sony
Shooting Dogs,Metrodome
Iqbal,Tip Top
Diameter of the Bomb,Lions Gate
Ice Age II,20th Fox
She's the Man,Entertainment
Alien Autopsy,Warner
The Dark,Momentum
The Squid and the Whale,Sony
Pierrepoint,Lions Gate
Unknown White Male,Word of Mouth Films
Scary Movie 4,BVI
Take the Lead,Entertainment
An American Haunting,Lionsgate
Humko Deewana Kar Gaye,UTV Comm
V for Vendetta,Warner 
Junebug,Miracle
Glastonbury,Pathe
Silent Hill,Pathe
American Dreamz,UIP
Eight Below,BVI
Tristan and Isolde,20th Fox
Mistress of Spices,Entertainment
C.R.A.Z.Y.,Soda
Rollin' with the Nines,Maiden Voyage
U-Carmen eKhayelitsha,Tartan
Cockles and Muscles,Peccadillo
16 Blocks,Warner
Slither,Entertainment
Alien Autopsy,Warner 
Unknown White Male,Word of Mouth
Mission: Impossible III,UIP
Confetti,20th Fox
36 China Town,Tip Top
Three,The Works
Love + Hate,Verve
The Magician,Miracle
Fateless,Dogwoof
Pierrepoint,Lionsgate
Prime,Momentum
When a Stranger Calls,Sony
16 Blocks,Warner Bros
Brick,Optimum
"Quo Vadis, Baby?",Yume Pictures
The Da Vinci Code ,Sony
Waiting ,Momentum
The Shaggy Dog ,BVI
The King,Tartan
X-Men: The Last Stand,20th Fox
The Wild,BVI
Curious George,UIP
Fanaa,Yash Raj
Friends with Money,Sony
Down in the Valley,Icon
Thief Lord,Warner
Wal-Mart: The High Cost of Low Price,Tartan
X-Men 3,20th Fox
The Da Vinci Code,Sony
Poseidon,Warner
The Wild,Buena Vista
United 93,UIP
Wah-Wah,Lions Gate
Benchwarmers,Sony
36,Tartan
The Omen,20th Fox
RV,Sony
Phir Hera Pheri,Tip Top
Chup Chup Ke,UTV Comm
Secuestro Express,BVI
Wah-Wah,Lionsgate
The Fast and the Furious: Tokyo Drift,UIP
Hard Candy,Lionsgate
Thank You for Smoking,20th Fox
Imagine Me and You,UIP
Secuestro Express,Buena Vista
Lobo (Wolf),Dogwoof
Wal-Mart:The High Cost of Low Price,Tartan
"Quo Vadis, Baby?",Yume
Things to Do Before You're 30,Momentum
Lakehouse,Warner
