Title,Distr,TMDB Movie ID,Genre 1,Genre 2,Popularity,Runtime (minutes),Average Vote (/10)
King Kong,UIP,254,Adventure,Drama,41.627,187.0,6.8
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BVI,411,Adventure,Family,90.366,143.0,7.1
Just Friends,Momentum,10033,Comedy,Romance,27.507,96.0,6.2
Brokeback Mountain,Entertainment,142,Drama,Romance,33.511,134.0,7.8
Just Like Heaven,UIP,9007,Fantasy,Romance,22.299,95.0,6.9
Cheaper by the Dozen,20th Fox,11007,Comedy,Family,18.354,98.0,6.3
Match Point,Icon,116,Drama,Thriller,18.834,124.0,7.3
Harry Potter and the Goblet of Fire,Warner,674,Adventure,Fantasy,226.197,157.0,7.8
Running Scared,Entertainment,7304,Action,Crime,16.338,122.0,7.0
Dosti,Tip Top,565927,Drama,Adventure,0.84,128.0,8.7
The Constant Gardener,UIP,1985,Drama,Mystery,16.191,129.0,7.0
The Family Stone,20th Fox,9043,Comedy,Drama,10.317,103.0,6.3
Mrs Henderson Presents,Pathe,10773,Comedy,Drama,6.268,103.0,6.7
Nanny McPhee,UIP,11283,Fantasy,Comedy,32.669,97.0,6.6
Where the Truth Lies,Momentum,9729,Drama,Mystery,6.957,107.0,6.2
Mad Hot Ballroom,Metrodome,14358,Documentary,Family,4.171,105.0,6.9
Innocence,Artificial Eye,286971,Thriller,Mystery,5.782,96.0,4.1
Oliver Twist,Pathe,257,Crime,Drama,15.783,130.0,6.7
Tickets,Artificial Eye,57251,Comedy,Drama,2.085,109.0,6.7
Broken Flowers,Momentum,308,Comedy,Drama,10.047,106.0,6.9
Jarhead,UIP,25,Drama,War,21.07,123.0,6.6
Memoirs of a Geisha,BVI,1904,Drama,Romance,25.302,146.0,7.7
Breakfast on Pluto,Pathe,1420,Drama,Comedy,10.547,128.0,7.2
Cry Wolf,Optimum,10092,Horror,Thriller,11.706,90.0,5.7
Underworld: Evolution,Entertainment,834,Fantasy,Action,31.337,106.0,6.6
Get Rich or Die Tryin',UIP,10060,Drama,Crime,25.701,117.0,6.7
Cheaper by the Dozen 2,20th Fox,9641,Comedy,Family,15.579,94.0,6.1
Munich,UIP,612,Drama,Action,17.825,164.0,7.1
Frozen,Guerilla Films,109445,Animation,Adventure,115.072,102.0,7.3
Walk the Line,20th Fox,69,Drama,Music,21.263,136.0,7.5
Derailed,BVI,8999,Drama,Thriller,12.414,108.0,6.3
Chicken Little,BVI,9982,Animation,Family,32.861,81.0,5.9
Final Destination 3,Entertainment,9286,Horror,Mystery,54.559,93.0,6.1
Big Momma's House 2,20th Fox,11565,Comedy,Crime,22.94,99.0,5.8
The Adventures of Greyfriars Bobby,The Works,73772,Drama,Family,3.772,104.0,5.0
Casanova,BVI,9681,Comedy,Romance,10.106,112.0,6.5
The Piano Tuner of Earthquakes,Artificial Eye,44502,Romance,Fantasy,3.538,99.0,6.1
Brief Encounter,Park Circus Films,851,Drama,Romance,6.568,86.0,7.8
Date Movie,20th Fox,10073,Comedy,Romance,18.654,83.0,4.2
Syriana,Warner,231,Drama,Thriller,10.035,128.0,6.4
Lucky Number Slevin,Entertainment,186,Drama,Thriller,22.091,110.0,7.5
The Weather Man,Momentum,6963,Comedy,Drama,10.645,101.0,6.1
Last Holiday,UIP,17379,Adventure,Comedy,12.47,112.0,7.0
The Matador,BVI,9515,Action,Comedy,11.672,96.0,6.3
Capote,Sony,398,Crime,Drama,8.543,114.0,7.0
The Hills Have Eyes,20th Fox,9792,Horror,Thriller,50.945,107.0,6.4
The Proposition,Tartan,16608,Action,Adventure,10.039,104.0,7.1
Two for the Money,UIP,9910,Comedy,Crime,11.325,122.0,6.1
Evil Aliens,Contentfilm,10177,Comedy,Horror,4.234,93.0,5.5
These Foolish Things,Swipe,56193,Comedy,Drama,2.72,107.0,6.3
The Road to Guantanamo,Revelation,7872,Documentary,Drama,6.699,95.0,6.9
The Pink Panther,20th Fox,12096,Comedy,Family,21.734,93.0,5.9
V for Vendetta,Warner,752,Action,Thriller,39.417,132.0,7.9
Tsotsi,Momentum,868,Crime,Drama,7.463,94.0,6.9
In My Country,Sony,16635,Romance,Drama,3.624,103.0,6.6
Inside Man,UIP,388,Crime,Drama,24.862,129.0,7.4
The Boys from County Clare,Lions Gate,1589,Romance,Comedy,4.877,91.0,6.2
The Shaggy Dog,BVI,10067,Comedy,Family,11.478,98.0,4.9
The Three Burials of Melquiades Estrada,Optimum,8053,Adventure,Crime,7.826,121.0,7.1
The White Countess,Sony,18840,Drama,History,5.4,135.0,6.7
Shooting Dogs,Metrodome,8588,Drama,History,6.785,115.0,7.4
She's the Man,Entertainment,9655,Comedy,Drama,23.78,105.0,6.8
Alien Autopsy,Warner,9773,Comedy,Science Fiction,6.737,95.0,5.6
The Squid and the Whale,Sony,10707,Comedy,Drama,11.121,81.0,7.0
Take the Lead,Entertainment,12763,Comedy,Music,13.069,108.0,6.9
An American Haunting,Lionsgate,10008,Horror,Thriller,9.753,83.0,5.6
Humko Deewana Kar Gaye,UTV Comm,48569,Drama,Romance,3.829,152.0,4.9
Junebug,Miracle,1444,Comedy,Drama,8.784,106.0,6.8
Silent Hill,Pathe,588,Horror,Mystery,45.383,125.0,6.5
American Dreamz,UIP,9310,Comedy,Drama,7.159,107.0,4.9
Eight Below,BVI,9036,Adventure,Drama,22.799,120.0,7.0
C.R.A.Z.Y.,Soda,11421,Drama,Comedy,6.978,127.0,7.6
Rollin' with the Nines,Maiden Voyage,10084,Action,Crime,2.366,96.0,4.6
U-Carmen eKhayelitsha,Tartan,79706,Music,Drama,0.659,122.0,5.7
16 Blocks,Warner,2207,Action,Adventure,25.262,102.0,6.4
Slither,Entertainment,9035,Horror,Science Fiction,11.989,95.0,6.5
Mission: Impossible III,UIP,956,Adventure,Action,28.783,126.0,6.7
Confetti,20th Fox,10111,Comedy,Romance,4.609,100.0,6.0
The Magician,Miracle,14096,Comedy,Drama,3.91,85.0,6.5
X-Men: The Last Stand,20th Fox,36668,Adventure,Action,1.803,104.0,6.4
The Wild,BVI,9904,Family,Animation,52.647,95.0,5.5
Friends with Money,Sony,8998,Comedy,Drama,11.264,88.0,5.1
Down in the Valley,Icon,7870,Drama,Romance,6.136,112.0,5.9
The Da Vinci Code,Sony,591,Thriller,Mystery,28.092,149.0,6.7
Poseidon,Warner,503,Adventure,Action,25.108,98.0,5.8
United 93,UIP,9829,Drama,History,19.94,111.0,7.1
RV,Sony,9530,Family,Comedy,22.473,99.0,5.9
Secuestro Express,BVI,25956,Drama,Action,2.797,86.0,6.6
The Fast and the Furious: Tokyo Drift,UIP,9615,Action,Crime,9.372,104.0,6.4
Hard Candy,Lionsgate,2652,Drama,Thriller,13.859,103.0,6.8
Thank You for Smoking,20th Fox,9388,Comedy,Drama,14.563,92.0,7.2
Things to Do Before You're 30,Momentum,14187,Comedy,Drama,3.252,101.0,5.6
Fearless,UIP,726664,Family,Animation,29.026,89.0,6.2
